
> backend@1.0.0 start
> node server.js


🚀 Servidor backend corriendo en http://localhost:3000
📊 Health check: http://localhost:3000/api/health
🔐 Auth endpoints:
   - POST http://localhost:3000/api/auth/register
   - POST http://localhost:3000/api/auth/login
   - GET  http://localhost:3000/api/auth/profile (protegido)

Connected to SQLite database
Users table ready
2025-12-01T22:43:13.874Z - GET /api/clientes
2025-12-01T22:43:19.661Z - POST /api/auth/login
2025-12-01T22:43:20.887Z - GET /api/clientes
2025-12-01T22:43:21.841Z - GET /api/reportes/clientes
2025-12-01T22:43:32.840Z - GET /api/almacenes
2025-12-01T22:43:33.406Z - GET /api/almacenes
2025-12-01T22:43:33.877Z - GET /api/deliveries
2025-12-01T22:43:34.346Z - GET /api/ordenes
2025-12-01T22:43:34.363Z - GET /api/deliveries
2025-12-01T22:43:34.365Z - GET /api/almacenes
2025-12-01T22:43:34.367Z - GET /api/clientes
2025-12-01T22:43:34.370Z - GET /api/productos
2025-12-01T22:43:34.812Z - GET /api/users
2025-12-01T22:43:35.190Z - GET /api/deliveries
2025-12-01T22:43:35.646Z - GET /api/almacenes
2025-12-01T22:43:36.046Z - GET /api/productos
2025-12-01T22:43:36.814Z - GET /api/almacenes
2025-12-01T22:43:38.485Z - GET /api/users
2025-12-01T22:43:39.363Z - GET /api/almacenes
2025-12-01T22:43:40.356Z - GET /api/inventario/almacen/1
2025-12-01T22:43:43.332Z - GET /api/users
2025-12-01T22:43:51.218Z - POST /api/auth/login
2025-12-01T22:43:52.420Z - GET /api/productos
2025-12-01T22:43:52.426Z - GET /api/almacenes
2025-12-01T22:43:52.427Z - GET /api/deliveries
2025-12-01T22:43:52.427Z - GET /api/ordenes
2025-12-01T22:44:06.147Z - POST /api/auth/login
2025-12-01T22:44:07.365Z - GET /api/clientes
2025-12-01T22:44:08.226Z - GET /api/deliveries
2025-12-01T22:44:13.948Z - POST /api/auth/login
2025-12-01T22:44:15.426Z - GET /api/productos
2025-12-01T22:44:15.427Z - GET /api/ordenes
2025-12-01T22:44:15.429Z - GET /api/almacenes
2025-12-01T22:44:15.431Z - GET /api/deliveries
2025-12-01T22:44:31.939Z - POST /api/ordenes
